,ID,azimuth,dis,x,y,z
28640,10,44.05,2.88,1.951178282,2.016978849,0.647379051
28664,11,44.05,2.82,1.924796578,1.989707461,0.537235847
28688,12,44.05,2.79,1.915911782,1.980523039,0.436933103
28712,13,44.05,2.77,1.911622967,1.97608959,0.33714621
28736,14,44.05,2.75,1.904758463,1.968993591,0.239706981
28760,15,44.05,2.75,1.909406439,1.973798313,0.144177912
28784,16,44.05,2.75,1.911757827,1.976228998,0.046914356
28435,1,43.87,2.76,1.847606758,1.921960639,-0.714154444
28459,2,43.87,2.75,1.857196988,1.931936811,-0.617202968
28483,3,43.87,2.76,1.877606844,1.953168028,-0.526618641
28507,4,43.87,2.72,1.861839291,1.936765936,-0.42531419
28531,5,43.87,2.72,1.871040291,1.946337215,-0.330725983
28555,6,43.87,2.71,1.870937542,1.946230331,-0.23638996
28579,7,43.87,2.72,1.882434017,1.958189462,-0.142605062
28603,8,43.87,2.7,1.870879553,1.946170009,-0.047244001
28627,9,43.87,2.9,1.941507349,2.019640103,0.749401807
28651,10,43.87,2.87,1.938079248,2.016074044,0.645131207
28675,11,43.87,2.81,1.911732919,1.988667451,0.535330755
28699,12,43.87,2.78,1.902835609,1.979412083,0.435367034
28723,13,43.87,2.76,1.898526755,1.974929826,0.335929075
28747,14,43.87,2.74,1.891659431,1.967786138,0.238835319
28771,15,43.87,2.74,1.896275443,1.972587914,0.143653629
28795,16,43.87,2.74,1.898610661,1.975017109,0.046743758
28423,1,43.69,2.76,1.841559633,1.927755572,-0.714154444
28447,2,43.69,2.75,1.851118475,1.937761824,-0.617202968
28471,3,43.69,2.74,1.857900215,1.94486099,-0.522802564
28495,4,43.69,2.72,1.855745584,1.94260551,-0.42531419
28519,5,43.69,2.71,1.858060158,1.94502842,-0.329510079
28543,6,43.69,2.7,1.857932824,1.944895125,-0.235517672
28567,7,43.69,2.7,1.862476779,1.949651765,-0.141556496
28591,8,43.69,2.69,1.857849753,1.944808166,-0.047069023
28615,9,43.69,2.89,1.928479951,2.018744277,0.746817663
28639,10,43.69,2.87,1.931736011,2.022152741,0.645131207
28663,11,43.69,2.79,1.891913806,1.98046662,0.531520572
28687,12,43.69,2.77,1.889785392,1.978238584,0.433800966
28711,13,43.69,2.75,1.885456765,1.97370735,0.334711941
28735,14,43.69,2.74,1.885468124,1.973719241,0.238835319
28759,15,43.69,2.74,1.890069028,1.978535495,0.143653629
28783,16,43.69,2.73,1.885490046,1.973742189,0.046573161
28434,1,43.51,2.76,1.835494333,1.93353148,-0.714154444
28458,2,43.51,2.73,1.831603352,1.929432675,-0.612714219
28482,3,43.51,2.72,1.838264445,1.936449549,-0.518986487
28506,4,43.51,2.71,1.842833438,1.94126258,-0.423750535
28530,5,43.51,2.7,1.845106784,1.943657349,-0.328294175
28554,6,43.51,2.7,1.851813597,1.950722386,-0.235517672
28578,7,43.51,2.7,1.856342587,1.955493278,-0.141556496
28602,8,43.51,2.69,1.8517308,1.950635167,-0.047069023
28626,9,43.51,2.87,1.908826446,2.010780397,0.741649375
28650,10,43.51,2.86,1.91866509,2.021144541,0.642883363
28674,11,43.51,2.79,1.885682661,1.986400459,0.531520572
28698,12,43.51,2.77,1.883561257,1.984165747,0.433800966
28722,13,43.51,2.74,1.872413261,1.972422316,0.333494807
28746,14,43.51,2.72,1.865540995,1.96518299,0.237091996
28770,15,43.51,2.72,1.870093273,1.969978413,0.142605062
28794,16,43.51,2.72,1.872396248,1.972404394,0.046402563
28422,1,43.33,2.75,1.822782616,1.932261898,-0.711566928
28446,2,43.33,2.73,1.825532832,1.935177296,-0.612714219
28470,3,43.33,2.71,1.825435922,1.935074565,-0.517078449
28494,4,43.33,2.7,1.829948112,1.939857764,-0.42218688
28518,5,43.33,2.7,1.838991509,1.949444322,-0.328294175
28542,6,43.33,2.68,1.832004419,1.942037577,-0.233773097
28566,7,43.33,2.69,1.843337517,1.954051359,-0.141032212
28590,8,43.33,2.68,1.838732628,1.949169893,-0.046894045
28614,9,43.33,2.87,1.902499984,2.016767219,0.741649375
28638,10,43.33,2.85,1.905619634,2.020074241,0.640635519
28662,11,43.33,2.78,1.872696586,1.985173781,0.52961548
28686,12,43.33,2.77,1.877318532,1.990073328,0.433800966
28710,13,43.33,2.73,1.859396507,1.971074878,0.332277672
28734,14,43.33,2.72,1.859357994,1.971034052,0.237091996
28758,15,43.33,2.71,1.857042629,1.968579622,0.142080779
28782,16,43.33,2.72,1.866190527,1.978276957,0.046402563
28433,1,43.15,2.73,1.803490864,1.923884402,-0.706391896
28457,2,43.15,2.72,1.812779663,1.933793283,-0.610469845
28481,3,43.15,2.71,1.819347708,1.940799783,-0.517078449
28505,4,43.15,2.7,1.823844849,1.945597134,-0.42218688
28529,5,43.15,2.68,1.819281357,1.940729003,-0.325862366
28553,6,43.15,2.68,1.825894297,1.947783395,-0.233773097
28577,7,43.15,2.68,1.830359896,1.952547099,-0.140507929
28601,8,43.15,2.67,1.825762007,1.947642273,-0.046719067
28625,9,43.15,2.87,1.896154745,2.022734137,0.741649375
28649,10,43.15,2.84,1.892599906,2.018941993,0.638387675
28673,11,43.15,2.77,1.859736896,1.983885184,0.527710388
28697,12,43.15,2.76,1.864302559,1.988755632,0.432234897
28721,13,43.15,2.73,1.853195028,1.976906608,0.332277672
28745,14,43.15,2.72,1.853156643,1.976865661,0.237091996
28769,15,43.15,2.71,1.850848999,1.974403969,0.142080779
28793,16,43.15,2.7,1.846290164,1.969540805,0.046061368
28421,1,42.97,2.73,1.797437913,1.929540732,-0.706391896
28445,2,42.97,2.71,1.800053274,1.932348309,-0.60822547
28469,3,42.97,2.7,1.806550609,1.939323167,-0.51517041
28493,4,42.97,2.68,1.804258966,1.936863099,-0.419059569
28517,5,42.97,2.68,1.813175409,1.946434857,-0.325862366
28541,6,42.97,2.67,1.812975983,1.946220773,-0.232900809
28565,7,42.97,2.67,1.817409987,1.950980655,-0.139983646
28589,8,42.97,2.66,1.812819198,1.946052466,-0.04654409
